ability_id,name,ability_type,formula_hex,formula_text,elements,inflict_statuses,route,mechanism,readiness,risk,candidate_action_kind,candidate_damage_type,candidate_avoidance_policy,candidate_status_category,candidate_side_effect_policy,metadata_certainty,metadata_open_fields,metadata_basis,rationale,metadata_blocking_scope,metadata_next_gate
0,<Nothing>,Blank,0x0D,Heal_(Y)% Hit_F(MA+X)% NE,,,basic_attack,dcl_physical_or_magic_bolt,wired,medium,physical_damage,weapon_defined,physical_contest,none,none_or_catalog_visuals,candidate-complete,,formula-and-catalog,Runtime action id 0 is Basic Attack despite the catalog's <Nothing>/0x0D sentinel row; weapon family selects physical or Rod/Staff bolt routing.,closed,candidate metadata complete; approval remains a separate job/human gate
1,Cure,Normal,0x0C,Heal_F(MA*Y) NS NE,,,magic_healing,dcl_magic,wired,low,healing,none,none,none,managed_resource_commit,candidate-complete,,formula-and-catalog,"Canonical Faith-scaled MA*Y healing is implemented, including Undead inversion.",closed,candidate metadata complete; approval remains a separate job/human gate
2,Cura,Normal,0x0C,Heal_F(MA*Y) NS NE,,,magic_healing,dcl_magic,wired,low,healing,none,none,none,managed_resource_commit,candidate-complete,,formula-and-catalog,"Canonical Faith-scaled MA*Y healing is implemented, including Undead inversion.",closed,candidate metadata complete; approval remains a separate job/human gate
3,Curaga,Normal,0x0C,Heal_F(MA*Y) NS NE,,,magic_healing,dcl_magic,wired,low,healing,none,none,none,managed_resource_commit,candidate-complete,,formula-and-catalog,"Canonical Faith-scaled MA*Y healing is implemented, including Undead inversion.",closed,candidate metadata complete; approval remains a separate job/human gate
4,Curaja,Normal,0x0C,Heal_F(MA*Y) NS NE,,,magic_healing,dcl_magic,wired,low,healing,none,none,none,managed_resource_commit,candidate-complete,,formula-and-catalog,"Canonical Faith-scaled MA*Y healing is implemented, including Undead inversion.",closed,candidate metadata complete; approval remains a separate job/human gate
5,Raise,Normal,0x0D,Heal_(Y)% Hit_F(MA+X)% NE,,Dead,revive_or_percent_heal,explicit_healing_rule,authoring-required,high,healing,none,none,none,managed_resource_commit,candidate-complete,,formula-and-catalog,Raise/revive percent healing has KO and hit semantics outside ordinary healing.,closed,candidate metadata complete; approval remains a separate job/human gate
6,Arise,Normal,0x0D,Heal_(Y)% Hit_F(MA+X)% NE,,Dead,revive_or_percent_heal,explicit_healing_rule,authoring-required,high,healing,none,none,none,managed_resource_commit,candidate-complete,,formula-and-catalog,Raise/revive percent healing has KO and hit semantics outside ordinary healing.,closed,candidate metadata complete; approval remains a separate job/human gate
7,Reraise,Normal,0x0B,Hit_F(MA+X)% NE,,Reraise,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,formula-and-catalog,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy.",closed,candidate metadata complete; approval remains a separate job/human gate
8,Regen,Normal,0x0B,Hit_F(MA+X)% NE,,Regen,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,formula-and-catalog,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy.",closed,candidate metadata complete; approval remains a separate job/human gate
9,Protect,Normal,0x0B,Hit_F(MA+X)% NE,,Protect,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,formula-and-catalog,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy.",closed,candidate metadata complete; approval remains a separate job/human gate
