ability_id,name,ability_type,formula_hex,formula_text,elements,inflict_statuses,route,mechanism,readiness,risk,candidate_action_kind,candidate_damage_type,candidate_avoidance_policy,candidate_status_category,candidate_side_effect_policy,metadata_certainty,metadata_open_fields,rationale
0,<Nothing>,Blank,0x0D,Heal_(Y)% Hit_F(MA+X)% NE,,,basic_attack,dcl_physical_or_magic_bolt,wired,medium,physical_damage,weapon_defined,physical_contest,none,preserve_catalog_riders,candidate-complete,,Runtime action id 0 is Basic Attack despite the catalog's <Nothing>/0x0D sentinel row; weapon family selects physical or Rod/Staff bolt routing.
1,Cure,Normal,0x0C,Heal_F(MA*Y) NS NE,,,magic_healing,dcl_magic,wired,low,healing,none,none,none,managed_resource_commit,candidate-complete,,"Canonical Faith-scaled MA*Y healing is implemented, including Undead inversion."
2,Cura,Normal,0x0C,Heal_F(MA*Y) NS NE,,,magic_healing,dcl_magic,wired,low,healing,none,none,none,managed_resource_commit,candidate-complete,,"Canonical Faith-scaled MA*Y healing is implemented, including Undead inversion."
3,Curaga,Normal,0x0C,Heal_F(MA*Y) NS NE,,,magic_healing,dcl_magic,wired,low,healing,none,none,none,managed_resource_commit,candidate-complete,,"Canonical Faith-scaled MA*Y healing is implemented, including Undead inversion."
4,Curaja,Normal,0x0C,Heal_F(MA*Y) NS NE,,,magic_healing,dcl_magic,wired,low,healing,none,none,none,managed_resource_commit,candidate-complete,,"Canonical Faith-scaled MA*Y healing is implemented, including Undead inversion."
5,Raise,Normal,0x0D,Heal_(Y)% Hit_F(MA+X)% NE,,Dead,revive_or_percent_heal,explicit_healing_rule,authoring-required,high,healing,none,none,none,managed_resource_commit,candidate-complete,,Raise/revive percent healing has KO and hit semantics outside ordinary healing.
6,Arise,Normal,0x0D,Heal_(Y)% Hit_F(MA+X)% NE,,Dead,revive_or_percent_heal,explicit_healing_rule,authoring-required,high,healing,none,none,none,managed_resource_commit,candidate-complete,,Raise/revive percent healing has KO and hit semantics outside ordinary healing.
7,Reraise,Normal,0x0B,Hit_F(MA+X)% NE,,Reraise,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy."
8,Regen,Normal,0x0B,Hit_F(MA+X)% NE,,Regen,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy."
9,Protect,Normal,0x0B,Hit_F(MA+X)% NE,,Protect,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy."
10,Protectja,Normal,0x0B,Hit_F(MA+X)% NE,,Protect,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy."
11,Shell,Normal,0x0B,Hit_F(MA+X)% NE,,Shell,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy."
12,Shellja,Normal,0x0B,Hit_F(MA+X)% NE,,Shell,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy."
13,Wall,Normal,0x0B,Hit_F(MA+X)% NE,,Protect|Shell,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,status_contest,none,managed_status_commit,candidate-complete,,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy."
14,Esuna,Normal,0x0B,Hit_F(MA+X)% NE,,Petrify|Darkness|Confusion|Silence|Berserk|Frog|Poison|Sleep|DontMove|DontAct,status_or_buff,dcl_status_control,surface-ready,medium,status_control,none,none,none,managed_status_commit,candidate-complete,,"Status/buff output is writable, but each status needs authored offense/resistance/duration policy."
15,Holy,Normal,0x08,Dmg_F(MA*Y) ME,Holy,,magic_damage,dcl_magic,wired,low,magic_damage,spiritual,magic_evade_per_target,none,preserve_catalog_riders,candidate-complete,,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
16,Fire,Normal,0x08,Dmg_F(MA*Y) ME,Fire,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,preserve_catalog_riders,candidate-complete,,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
17,Fira,Normal,0x08,Dmg_F(MA*Y) ME,Fire,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,preserve_catalog_riders,candidate-complete,,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
18,Firaga,Normal,0x08,Dmg_F(MA*Y) ME,Fire,,magic_damage,dcl_magic,wired,low,magic_damage,elemental,magic_evade_per_target,none,preserve_catalog_riders,candidate-complete,,Canonical Faith-scaled MA*Y damage is implemented by the numeric-magic profile.
