job,reaction,filter_readiness,filter_formula_surface,missing_filter_signal,trigger_window,effect_delivery,cadence_commit,next_offline_step,live_gate
Squire,Counter Tackle,ready-in-context,source/action + hit + weapon-strike + grid distance,none,native unit+0x95 bit plus exact-id filter,native pass 2 emits source-target type-0x0B Rush 147; formula 0x37 preserves knockback while DCL owns magnitude,native/default,author the landed-melee condition and decide multi-hit cadence; no synthesized shove is needed,"confirm one native Rush knockback, source direction, and chosen multi-hit cadence"
Squire,Grit,design-open,low-HP and Critical status are visible,"final trigger, payoff, threshold, amount, and cadence are under-specified",native Critical: Recover HP 431 post-hit window passes Brave and then performs a full missing-HP heal,"if the payoff is healing, preserve carrier 431 but replace its HP credit with the authored bounded amount",condition only,"finish the visible minor-clutch design, then bind the chosen amount to reaction provenance instead of accepting the native full heal","only after the design is fixed; verify trigger threshold, bounded credit, and cadence"
Chemist,Auto-Potion,partial-context,hit-known + survivor HP/KO state,reaction context has no committed-damage amount/phase signal,native Auto-Potion window,"native selector is Potion/Hi-Potion/X-Potion only, first available; inventory decrement is a Strong candidate; final Chemist authors no Item Lore multiplier",primitive-only: own-turn cycle; all three execution commits are probed,map the VM-to-item-decrement edge and bind cadence at the owning commit pass,"prove post-damage timing, survivor guard, one-item consumption, native heal amount, and cadence"
Knight,Riposte,ready-in-context,miss/defended + weapon-strike + adjacency,none,native Counter 442 can be staged at unit+0x1CE before pass 2; the bounded empty-slot producer is implemented log-only but source lifetime is not live-proven,Counter 442 already authors type-1/payload-0 attack against the source global; action replacement vertical slice is prepared,primitive-only: attacker action; all three execution commits are probed,"run LT23/LT28, then bind the proven execution decision to the one-write producer and commit cadence","prove source ownership, one counter per attacker action, and no forecast consumption"
Archer,Countershot,partial-context,source/action + Invisible + coordinates/range/AoE + native Arc/Direct resolver contract,synchronous resolver verdict is not integrated; ranged/magic/AoE provenance remains partial,mixed: native Archer's Bane window is insufficient; Counter 442 is a candidate generic source-target carrier and its empty-slot producer is prepared log-only,basic-action replacement is prepared log-only inside an accepted carrier window; native resolver equality owns weapon LoS,primitive-only: own-turn cycle; all three execution commits are probed,bind the pass-2 producer to the shot decision and replacement while preserving native resolver target equality,"prove AoE inclusion, magic trigger, shot replacement, LoS, and cadence"
White Mage,Regenerator,ready-in-context,native HP-damage result bit + staged debit; survivor HP/KO is formula-visible,none for the authored landed-damage trigger,real-code reaction bit + HP-damage branch stages exact id 428 and debit payload,native Regen effect candidate; survivor/lethal rejection is outside the mapped branch,native/default,keep the native window and verify surrounding delivery rejects lethal hits before relying on it unchanged,"vertical slice for Caution chance, native Regen, and lethal-hit negative control"
Black Mage,Rod Counter,partial-context,hostile/non-self + survivor + direct flag + Invisible + distance + Rod/range + native weapon resolver contract,Rod-bolt trajectory flag and synchronous resolver verdict are not integrated; reaction/DoT/field provenance remains partial,mixed: Magick Counter does not cover every direct hostile action; the generic empty-slot producer is prepared log-only,"native Magick Counter is proven spell-copy (type 0x0B + incoming id); final Rod bolt needs a type-1/payload-0 basic-action carrier, with Counter 442 structurally preferred",primitive-only: attacker action; execution commit candidate/probe prepared,pair provenance and Rod trajectory policy with the Counter-442 producer rather than copied-spell delivery,"prove exclusions, LoS, Magic Evade, replacement, and cadence"
Monk,Adrenaline Rush,partial-context,HP threshold and Critical status are visible,damage-event and own-turn-start trigger producers,missing for combined damage/start-turn policy,design open between PA and Speed/CT; temporary non-stack layer missing,battle-reset/visible-tier ownership missing,"resolve the payoff, then implement turn-start/damage producers and visible temporary state","prove non-stack, duration, reset, and no permanent growth"
Thief,Vigilance,ready-in-context,source/action + Invisible status,none if visible means not Invisible; true LoS would be a new requirement,managed physical contest is the correct pre-roll phase,native effect is Defending and must be suppressed; transient Dodge bonus needs execution-provenance reservation,primitive-only: own-turn cycle,add a reservation/commit token to DclDodgeFormula after calc provenance distinguishes forecast from execution,"prove only the qualifying executed attack receives Dodge, cadence commits once, and native Defending is absent"
Mystic,Hex Ward,ready-in-context,hit-known + incoming source,none for struck,bounded active-unit/empty-slot producer for carrier 443 is implemented and launch-smoked log-only,exact-carrier commit retarget to the validated source is implemented and launch-smoked log-only; managed Blind/Brave write remains,native/default,"after LT23/LT28, bind the one-write producer, source retarget, and guarded effect into one accepted-reaction transaction","prove source lifetime, Blind immunity, Brave floor, target direction, and idempotent cadence"
