area,mechanism,owner,status,current,evidence,remaining
Action lifecycle,Outer/nested calculation provenance,"deep-combat-layer/00,02,12,18",mechanism-ready,"LT28 proved forecast-trace/state-0x19 versus outer-sweep/state-0x2A confirmed execution. The cache accepts only the execution pair and refuses formula-0x25's nested synthetic Attack overwrite, preserving the outer Rend identity.",tools/analyze_dcl_calc_provenance.py; work/1784070430-lt28-dcl-calc-provenance-live-result.md; codemod/fftivc.generic.chronicle.codemod/DclActionContextCache.cs,Live-confirm one natural Rend fallback row and charge-poll provenance; the execution-only producer boundary is already bound.
Damage,Deterministic HP damage apply,deep-combat-layer/05,proven-live,Managed pre-clamp formulas rewrite staged HP debit through native HP/KO lifecycle.,codemod/fftivc.generic.chronicle.codemod/Mod.cs; docs/modding/06-code-mod-runtime-dsl.md,Integrate a sentinel mechanism policy and run the full regression set; final balance values are out of scope.
Damage,Forecast damage/heal parity,"deep-combat-layer/05,09,13,14",proven-live,"Forecast source/poke paths and native HP ghost fields are mapped and controlled. Direct numeric magic now also owns one exact, RNG-free probability/value/resource plan shared by player and AI projections; arbitrary Xd6+Y uses exact convolution and rounds only at the named native boundary.",codemod/fftivc.generic.chronicle.codemod/Mod.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalMagicEvaluation.cs; codemod/fftivc.generic.chronicle.codemod/DclExactValueDistribution.cs; docs/modding/05-reverse-engineering.md,"Bind the canonical evaluation projection to the live player and AI carriers, then exercise every technical action family in the integrated mechanism profile."
Damage,"Damage types, DR, wound and penetration","deep-combat-layer/05,06",partial-live-gated,"The literal ST table and canonical injury resolver own dice normalization, minimum damage, exact armor divisors, DR-before-wound ordering, all wound multipliers, Major Wounds, KO short-circuiting, and capped critical knockback. Physical, direct-magic, and Area-magic executors compose per-Strike Shock accumulation, surviving Major-Wound HT, paired Stun/Knocked Down, critical knockback, and concentration cancellation/checks. Confirmed coordinators resolve the universal Shock/Stun/Knocked Down definitions before RNG, materialize them before the outer Reaction window, merge Shock without refreshing its target-turn window, and project their exact state mutations beside the Injury carrier. Multi-Strike Immediate physical and Area Injury reproject Stun/Knocked Down into later defenses in execution and exact forecast/AI; unsupported delivery families fail closed.",codemod/fftivc.generic.chronicle.codemod/DclStrengthDamage.cs; codemod/fftivc.generic.chronicle.codemod/DclInjury.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalInjuryConsequenceCommitter.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalNativeAuxiliaryProjection.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Connect location/equipment DR selection and native HP/custom-state presentation/displacement/Charging commits, then prove representative physical and manifested-magic verticals."
Defense,Physical hit contest and outcome delivery,"deep-combat-layer/03,08,18",partial-live-gated,"The exact 3d6 contest and live miss-delivery carrier are implemented. The canonical physical executor composes a bound profile, item-owned weapon damage, dynamic per-Strike defense selection, cumulative resources, DR/Injury, KO short-circuiting, and one outer Reaction window. Ordered physical status Riders honor the referenced state's None, SuccessRoll, or QuickContest gate; QuickContest reuses each landed Strike's attack margin, and only reachable gates consume resistance RNG. Riders materialize inside the outer commit and retain their exact state instance through native projection. The confirmed coordinator owns those sites through the battle ledger. A matching RNG-free evaluator enumerates every attack, selected-defense, defense, weapon-damage, and Rider-resistance branch; it carries repeated-Parry vectors, finite Block, HP evolution, KO short-circuiting, exact raw/applied Injury distributions, and lossless player/AI per-Strike Rider marginals across all targets and Strikes. Explicit physical Rider gates and multi-Strike Immediate status setup fail closed.",codemod/fftivc.generic.chronicle.codemod/DclPhysicalContest.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalPhysicalExecutor.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalPhysicalExecutionCoordinator.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalPhysicalEvaluation.cs; codemod/fftivc.generic.chronicle.codemod/DclMagicActionGates.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalNativeCarrierProjection.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind the exact evaluator/coordinator to native forecast, AI, and execution carriers and regress every physical delivery family; apply/presentation consumption is already closed offline."
Defense,Repeated Parry and Block resource lifecycle,"deep-combat-layer/03,18",partial-live-gated,"The canonical physical transaction spends cumulative Parry attempts per weapon or limb with a -4 step, retains one Block attempt, reselects the best legal defense per Strike, and opens no intermediate Reaction window. Direct and standalone ForcedMovement External Projectile families validate the same battle-owned defense revision, spend Block on each reachable noncritical attempt whether successful or failed, reject a spent retry before RNG, and expose the exact correlated spend probability to forecast/AI. A battle-owned revisioned cadence persists both resources across outer actions, atomically rejects stale retries, resets only at the defender's granted-turn boundary, and survives timeline checkpoint/restore. The earlier finite-Parry-use runtime is historical and is not a conforming DCL implementation.",codemod/fftivc.generic.chronicle.codemod/DclActionTransaction.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalPhysicalExecutor.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalPhysicalExecutionCoordinator.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalMagicExecutionCoordinator.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalMagicEvaluation.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalForcedMovementExecution.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalForcedMovementEvaluation.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalBattleRuntime.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalTimelineCheckpoint.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind canonical physical/direct-magic/ForcedMovement defense candidate construction and the granted-turn boundary to native execution, replacing the legacy live Guard-pool path."
Damage,Barrage weapon multistrike carrier,"deep-combat-layer/03,16,18",mechanism-ready,"Formula 0x6A writes fixed count four into the shared native repeat counter. Each result delegates to the exact order-payload weapon formula and ordinary normal-attack postprocessor; RandomFire is clear, so the original single target remains selected. The native result producer increments the shared index and publishes continuation per result.",tools/analyze_dcl_multistrike_transactions.py; tools/analyze_dcl_active_weapon_payload.py; codemod/fftivc.generic.chronicle.codemod/DclNativeRepeat.cs; tools/report_dcl_ability_classification.py,"Live-confirm the four mapped repeats through pre-clamp/apply, presentation, and reaction cadence."
Position,Facing and flank/back policy,deep-combat-layer/04,proven-live,Coordinates/facing enum and front/side/back derived variables are owned.,docs/modding/04-engine-memory-model.md; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,Regress bridge/map-level geometry with sentinel modifiers; final calibration is out of scope.
Position,Forced movement and settled native map verdict,"deep-combat-layer/05,09,18,19",partial-live-gated,"The normalized ForcedMovement profile owns positive distance and Away/Toward/SourceFacing/ExplicitVector direction. A pure resolver validates one immutable native path/edge/fall verdict shared by forecast, AI, and confirmed execution, distinguishes blocked zero movement and KO short-circuit, and exposes Aim/concentration consequences only after positive settlement. The canonical coordinator owns reachable casting/defense/resistance draws, validates and commits the battle-owned finite Block resource, publishes movement beside an empty numeric carrier, and retains one outer Reaction. Forecast and AI expose the same exact Block-attempt/spend probability. Auxiliary planning and native writer validate origin and final-destination readback without per-tile callbacks. Multi-Strike Immediate authoring fails closed.",codemod/fftivc.generic.chronicle.codemod/DclCanonicalForcedMovement.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalForcedMovementExecution.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalForcedMovementEvaluation.cs; codemod/fftivc.generic.chronicle.codemod/DclCanonicalNativeAuxiliaryApply.cs; codemod/fftivc.generic.chronicle.codemod.smoketests/Program.cs,"Bind the shared verdict and movement writer to the native map callback, then route critical knockback and authored damage Riders through the same settled carrier before live proof."
Position,"Reach, range, height and weapon LoS","deep-combat-layer/04,07,12",partial-live-gated,Range/coordinates/tile data are exposed; native Arc/Direct target-equality LoS is mapped and LT27 is prepared.,work/1783996629-lt27-dcl-weapon-line-of-fire-live-plan.md; docs/modding/04-engine-memory-model.md,"Run LT27, prove reaction-delivered bow/gun attacks traverse the resolver, then integrate a synchronous verdict and author vertical policies."
