ability_id,assignment,cadence,cadence_control,category,category_confidence,data_text,design_name,disposition,effect,effect_delivery,evaluation_route,expected_name,job,native_id,note,readiness,record_kind,source,trigger,trigger_filter
422,,,,neutral,Hypothesis,,,candidate-repurpose,,,real-code-or-native-special,Strength Surge,,,Reactive stat utility; final category depends on retained design.,,native,,,
423,,,,neutral,Hypothesis,,,candidate-repurpose,,,real-code-or-native-special,Magick Surge,,,Reactive stat utility; final category depends on retained design.,,native,,,
424,,,,neutral,Hypothesis,,,candidate-Adrenaline-Rush,,,real-code-or-native-special,Speed Surge,,,Candidate record for the Monk's bounded temporary buff.,,native,,,
425,,,,caution,Strong,,,unassigned,,,real-code-or-native-special,Vanish,,,Defensive avoidance reaction.,,native,,,
426,,,,caution,Strong,,,final-Vigilance,,,passive-evasion-route-unresolved,Vigilance,,,Final Thief reaction; per-attack Dodge and cadence are custom.,,native,,,
427,,,,caution,Strong,,,candidate-Dragon's-Fury,,,real-code-or-native-special,Dragonheart,,,Reraise design is removed; record is a semantic candidate for Dragoon repurpose.,,native,,,
428,,,,caution,Proven-design,,,final-Regenerator,,,real-code-or-native-special,Regenerate,,,Final White Mage design explicitly uses inverse Brave.,,native,,,
429,,,,neutral,Strong,,,unassigned,,,real-code-or-native-special,Bravery Surge,,,"Trait utility, not an offensive counter or avoidance reaction.",,native,,,
430,,,,neutral,Strong,,,unassigned,,,real-code-or-native-special,Faith Surge,,,"Trait utility, not an offensive counter or avoidance reaction.",,native,,,
431,,,,caution,Strong,,,candidate-Grit,,,post-hit-real-code,Critical: Recover HP,,,Low-HP defensive clutch is the closest current Squire Grit candidate.,,native,,,
432,,,,caution,Strong,,,unassigned,,,post-hit-real-code,Critical: Recover MP,,,Low-HP resource recovery.,,native,,,
433,,,,caution,Strong,,,unassigned,,,post-hit-real-code,Critical: Quick,,,Low-HP defensive tempo.,,native,,,
434,,,,courage,Strong,,,unassigned,,,post-hit-real-code,Bonecrusher,,,Aggressive retaliation.,,native,,,
435,,,,courage,Strong,,,candidate-Rod-Counter,,,real-code-counter-class,Magick Counter,,,"Final effect is a basic Rod bolt, not spell-copy.",,native,,,
436,,,,courage,Proven-design,,,final-Counter-Tackle,,,real-code-counter-class,Counter Tackle,,,Aggressive melee retaliation.,,native,,,
437,,,,courage,Proven-design,,,final-Nature's-Wrath,,,real-code-counter-class,Nature's Wrath,,,Final job spec explicitly scales it with Brave.,,native,,,
438,,,,neutral,Strong,,,unassigned,,,real-code-or-native-special,Absorb MP,,,Resource utility.,,native,,,
439,,,,neutral,Strong,,,unassigned,,,post-hit-real-code,Gil Snapper,,,Campaign/resource utility.,,native,,,
440,,,,neutral,Proven-data,,,reserved,,,reserved,MARKED FOR DELETION - REPORT IF DISPLAYED Reflect,,,Deleted display record; do not ship unchanged.,,native,,,
441,,,,caution,Strong,,,final-Auto-Potion,,,post-hit-real-code,Auto-Potion,,,Defensive sustain; final guardrails are custom.,,native,,,
442,,,,courage,Proven-design,,,candidate-Riposte,,,real-code-counter-class,Counter,,,Generic counter record is the leading Knight Riposte candidate.,,native,,,
443,,,,neutral,Proven-data,,,candidate-Hex-Ward,,,reserved-or-unnamed,,,,Unnamed record is available only after its native dispatch is characterized.,,native,,,
444,,,,neutral,Strong,,,unassigned,,,real-code-or-native-special,Cup of Life,,,Utility/lifecycle effect.,,native,,,
445,,,,caution,Proven-design,,,final-Mana-Shield,,,real-code-counter-class,Mana Shield,,,Final Time Mage design explicitly uses inverse Brave.,,native,,,
446,,,,caution,Strong,,,unassigned,,,real-code-or-native-special,Soulbind,,,Defensive damage response.,,native,,,
447,,,,caution,Strong,,,unassigned,,,passive-evasion-route-unresolved,Parry,,,Defensive avoidance; native route must not be confused with DCL finite Parry.,,native,,,
448,,,,caution,Strong,,,final-Earplugs,,,real-code-or-native-special,Earplugs,,,Narrow defensive counter-performance reaction.,,native,,,
449,,,,caution,Strong,,,unassigned,,,passive-evasion-route-unresolved,Reflexes,,,Defensive avoidance reaction.,,native,,,
450,,,,caution,Strong,,,unassigned,,,real-code-or-native-special,Sticky Fingers,,,Defensive anti-theft response.,,native,,,
451,,,,caution,Proven-live,,,unassigned,,,vm-internal-avoidance,Shirahadori,,,Only reaction currently proven to bypass the four real-code gates.,,native,,,
452,,,,caution,Strong,,,candidate-Countershot,,,passive-evasion-route-unresolved,Archer's Bane,,,"Record may be repurposed; native effect is avoidance, not a returned shot.",,native,,,
453,,,,courage,Proven-design,,,unassigned,,,real-code-or-native-special,First Strike,,,Aggressive pre-emptive retaliation.,,native,,,
,confirmed-native-record,Native/default unless final per-action gate is added,decision-required,courage,,rename/data authoring required,Counter Tackle,,Retaliatory shove,native-effect candidate; DCL contest/reach integration required,,,Squire,436,,mechanism-partial,final,docs/job-balance/jobs/01-squire.md,Struck in melee,incoming source/action ready; missing melee filter
,candidate-record,Condition-gated,missing,undecided,,new name/description/data required,Grit,,Minor bounded clutch bonus,missing authored effect,,,Squire,431,,design-and-mechanism-gate,final,docs/job-balance/jobs/01-squire.md,Low-HP clutch condition,missing and effect under-specified
,confirmed-native-record,Once per own-turn-cycle,own-cycle primitive ready; effect-commit integration pending,undecided,,item eligibility/text/data required,Auto-Potion,,Use Potion-line item without Item Lore,native effect requires item-line restriction,,,Chemist,441,,mechanism-partial,final,docs/job-balance/jobs/02-chemist.md,Post-damage and survivor only,missing survival/item eligibility filter
,candidate-record,Once per attacker action,attacker-action primitive ready; effect-commit integration pending,courage,,rename/text/data required,Riposte,,Basic melee counter,counter delivery exists; exact policy integration missing,,,Knight,442,,mechanism-partial,final,docs/job-balance/jobs/03-knight.md,Adjacent melee attack misses or is defended,"incoming source/action ready; missing miss/defended, adjacency, melee filters"
,candidate-repurpose,Once per Archer turn-cycle,own-cycle primitive ready; effect-commit integration pending,courage,,rename/text/data required,Countershot,,Basic shot without riders,missing synthesized weapon shot,,,Archer,452,,mechanism-missing,final,docs/job-balance/jobs/04-archer.md,"Included in ranged attack, source visible/in range/in LoS",incoming source/action ready; missing ranged/AoE/visibility/range/LoS filters
,confirmed-repurpose,Native trigger unless bounded later,native-or-decision-required,caution,,rename/text/data required,Regenerator,,Gain Regen,native Regenerate effect candidate,,,White Mage,428,,mechanism-near-native,final,docs/job-balance/jobs/05-white-mage.md,Hit,basic hit filter likely native; taxonomy ready
,candidate-repurpose,Once per attacker action,attacker-action primitive ready; effect-commit integration pending,courage,,rename/text/data required,Rod Counter,,One basic Rod bolt; Magic Evade applies,Rod bolt formula exists; reaction action synthesis missing,,,Black Mage,435,,mechanism-missing,final,docs/job-balance/jobs/06-black-mage.md,Survives direct hostile action; source in Rod range/LoS; no reaction/DoT/field/self,incoming source/action ready; missing hostile/direct/cause/range/LoS/weapon filters
,candidate-repurpose,One visible tier; resets after battle,missing tier/battle lifecycle ownership,neutral,,rename/text/data required,Adrenaline Rush,,Short non-stacking PA or Speed/CT buff,status/stat duration surface partial; final effect undecided,,,Monk,424,,design-and-mechanism-gate,final,docs/job-balance/jobs/07-monk.md,Damaged or starts turn below HP threshold,missing damage/start-turn threshold filters
,confirmed-native-record,Once per Thief turn-cycle; no self-stack,own-cycle primitive ready; effect-commit integration pending,caution,,text/data tuning required,Vigilance,,Raise Dodge for that attack,DCL Dodge exists; transient per-attack modifier missing,,,Thief,426,,mechanism-missing,final,docs/job-balance/jobs/08-thief.md,Targeted by visible attack,missing visibility/action-scoped filter
,candidate-unnamed-record,Native/default unless bounded later,decision-required,caution,,new name/text/data required,Hex Ward,,Inflict Blind or Brave-down on attacker,status add surface exists; attacker-directed reaction effect missing,,,Mystic,443,,design-and-mechanism-gate,final,docs/job-balance/jobs/09-mystic.md,Struck,incoming attacker ready; missing struck/eligibility filter
,confirmed-native-record,Per hit while MP remains,native-or-decision-required,caution,,text/data/calibration required,Mana Shield,,Spend real MP to absorb HP damage,HP/MP channels exist; atomic ratio/floor rule missing,,,Time Mage,445,,mechanism-partial,final,docs/job-balance/jobs/10-time-mage.md,Incoming damage,taxonomy ready; exact damage phase integration needs audit
,confirmed-native-record,Once per attacker action,attacker-action primitive ready; effect-commit integration pending,courage,,text/data required,Nature's Wrath,,"Basic Geomancy from own tile, no rider/Scar",native effect differs from final no-rider tile-keyed delivery,,,Geomancer,437,,mechanism-missing,final,docs/job-balance/jobs/11-geomancer.md,Struck/targeted close by visible attacker,incoming source/action ready; missing close/visibility/cause filters
,candidate-repurpose,Once per attacker action recommended by common counter policy,attacker-action primitive ready; effect-commit integration pending,courage,,rename/text/data required,Dragon's Fury,,Spear counter-thrust with point-blank penalty,physical/reach formulas exist; reaction strike synthesis missing,,,Dragoon,427,,mechanism-missing,final,docs/job-balance/jobs/12-dragoon.md,Visible attacker within reach 2,incoming source/action ready; missing visibility/reach filters
,unassigned,None,not applicable,none,,no record should be fabricated,Open,,None authored,not applicable,,,Orator,,,intentional-open-slot,final,docs/job-balance/jobs/13-orator.md,None authored,not applicable
,unassigned,None,not applicable,none,,no record should be fabricated,Open,,None authored,not applicable,,,Summoner,,,intentional-open-slot,final,docs/job-balance/jobs/14-summoner.md,None authored,not applicable
,confirmed-native-record,Per eligible incoming effect,native-or-decision-required,caution,,text/data and Bard field identity required,Earplugs,,Narrow defense; never broad immunity,native effect candidate; exact protected statuses/actions need authoring,,,Dancer,448,,mechanism-partial,final,docs/job-balance/jobs/15-dancer.md,"Performance, speech, or morale effect",missing narrow action-family filter
