ability_id,ability_name,formula_hex,route,status,status_byte_index,status_mask_hex,runtime_status_name,operation,resist_category,resist_stat,offense_stat,duration_policy,bundle_size,readiness,mechanism,rationale
5,Raise,0x0D,revive_or_percent_heal,Dead,0,0x20,ko,remove-ko,lifecycle,none,native-revive-rule,immediate,1,native-lifecycle-preserved,preserve_native_revive,The native revive action owns KO removal and lifecycle state. DCL may rewrite only the staged HP credit and must not clear status byte 0 directly.
6,Arise,0x0D,revive_or_percent_heal,Dead,0,0x20,ko,remove-ko,lifecycle,none,native-revive-rule,immediate,1,native-lifecycle-preserved,preserve_native_revive,The native revive action owns KO removal and lifecycle state. DCL may rewrite only the staged HP credit and must not clear status byte 0 directly.
7,Reraise,0x0B,status_or_buff,Reraise,2,0x20,reraise,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,1,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
8,Regen,0x0B,status_or_buff,Regen,3,0x40,regen,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,1,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
9,Protect,0x0B,status_or_buff,Protect,3,0x20,protect,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,1,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
10,Protectja,0x0B,status_or_buff,Protect,3,0x20,protect,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,1,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
11,Shell,0x0B,status_or_buff,Shell,3,0x10,shell,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,1,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
12,Shellja,0x0B,status_or_buff,Shell,3,0x10,shell,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,1,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
13,Wall,0x0B,status_or_buff,Protect,3,0x20,protect,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,2,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
13,Wall,0x0B,status_or_buff,Shell,3,0x10,shell,add-buff-or-trait,beneficial,none,caster-MA-or-authored,authoring-required,2,authoring-required,dcl_status_add,Beneficial status has no defensive resistance contest; hit/duration policy remains ability-authored.
14,Esuna,0x0B,status_or_buff,Petrify,1,0x80,petrify,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
14,Esuna,0x0B,status_or_buff,Darkness,1,0x20,blind,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
14,Esuna,0x0B,status_or_buff,Confusion,1,0x10,confuse,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
14,Esuna,0x0B,status_or_buff,Silence,1,0x08,silence,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
14,Esuna,0x0B,status_or_buff,Berserk,2,0x08,berserk,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
14,Esuna,0x0B,status_or_buff,Frog,2,0x02,frog,remove-negative,none,none,none,immediate,10,surface-ready,dcl_status_remove,Removal uses the authored status-bit clear path and does not roll resistance.
