ability_id,ability_name,formula_hex,native_mode,native_statuses,authority_class,state,owner,next_gate
5,Raise,0x0D,Cancel,Dead,native-lifecycle,native-preserved,engine-owned KO/Crystal lifecycle,Rewrite only supported numeric channels; never write Dead or Crystal directly.
6,Arise,0x0D,Cancel,Dead,native-lifecycle,native-preserved,engine-owned KO/Crystal lifecycle,Rewrite only supported numeric channels; never write Dead or Crystal directly.
7,Reraise,0x0B,AllOrNothing,Reraise,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
8,Regen,0x0B,AllOrNothing,Regen,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
9,Protect,0x0B,AllOrNothing,Protect,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
10,Protectja,0x0B,AllOrNothing,Protect,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
11,Shell,0x0B,AllOrNothing,Shell,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
12,Shellja,0x0B,AllOrNothing,Shell,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
13,Wall,0x0B,AllOrNothing,Protect|Shell,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
14,Esuna,0x0B,Cancel,Petrify|Darkness|Confusion|Silence|Berserk|Frog|Poison|Sleep|DontMove|DontAct,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
28,Poison,0x0A,AllOrNothing,Poison,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
29,Toad,0x0A,AllOrNothing,Frog,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
30,Death,0x0E,AllOrNothing,Dead,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
32,Haste,0x0B,AllOrNothing,Haste,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
33,Hasteja,0x0B,AllOrNothing,Haste,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
34,Slow,0x0A,AllOrNothing,Slow,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
35,Slowja,0x0A,AllOrNothing,Slow,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
36,Stop,0x0A,AllOrNothing,Stop,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
37,Immobilize,0x0A,AllOrNothing,DontMove,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
38,Float,0x0B,AllOrNothing,Float,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
39,Reflect,0x0B,AllOrNothing,Reflect,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
46,Umbra,0x0A,AllOrNothing,Darkness,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
49,Belief,0x0A,AllOrNothing,Faith,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
50,Disbelief,0x0A,AllOrNothing,Innocent,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
51,Corruption,0x0A,AllOrNothing,Undead,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
52,Quiescence,0x0A,AllOrNothing,Silence,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
53,Fervor,0x0A,AllOrNothing,Berserk,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
55,Delirium,0x0A,AllOrNothing,Confusion,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
56,Harmony,0x0A,Cancel,Float|Reraise|Transparent|Regen|Protect|Shell|Haste|Faith|Reflect,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
57,Hesitation,0x0A,AllOrNothing,DontAct,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
58,Repose,0x0A,AllOrNothing,Sleep,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
59,Induration,0x0A,AllOrNothing,Petrify,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
66,Carbuncle,0x0B,AllOrNothing,Reflect,conditional-producer,producer-required,exact formula-0x0B pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
71,Sylph,0x0A,AllOrNothing,Silence,conditional-producer,producer-required,exact formula-0x0A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
80,Ame-no-Murakumo,0x20,AllOrNothing,Slow,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
81,Kiyomori,0x22,AllOrNothing,Protect|Shell,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
82,Muramasa,0x20,Random,Confusion|DeathSentence,special-transaction,producer-required,iaido-random-status,Map Muramasa's one-of choice before its status finalizer.
84,Masamune,0x22,AllOrNothing,Regen|Haste,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
91,Nameless Song,0x1C,Random,Reraise|Regen|Protect|Shell|Haste,special-transaction,mapped-live-gated,performance-status,Bind Nameless Song's random buff to the performance cadence owner.
98,Forbidden Dance,0x1D,Random,Darkness|Confusion|Silence|Frog|Poison|Slow|Stop|Sleep,special-transaction,mapped-live-gated,performance-status,Bind Forbidden Dance's random ailment to the performance cadence owner.
104,Doom Fist,0x50,AllOrNothing,DeathSentence,conditional-producer,producer-required,exact formula-0x50 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
105,Purification,0x33,Cancel,Petrify|Darkness|Confusion|Silence|Berserk|Frog|Poison|Sleep|DontMove|DontAct,conditional-producer,producer-required,exact formula-0x33 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
107,Revive,0x35,Cancel,Dead,native-lifecycle,native-preserved,engine-owned KO/Crystal lifecycle,Rewrite only supported numeric channels; never write Dead or Crystal directly.
109,Steal Heart,0x29,AllOrNothing,Charm,conditional-producer,producer-required,exact formula-0x29 pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
116,Entice,0x2A,AllOrNothing,Invite,conditional-producer,producer-required,exact formula-0x2A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
122,Condemn,0x2A,AllOrNothing,DeathSentence,conditional-producer,producer-required,exact formula-0x2A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
124,Insult,0x2A,AllOrNothing,Berserk,conditional-producer,producer-required,exact formula-0x2A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
125,Mimic Darlavon,0x2A,AllOrNothing,Sleep,conditional-producer,producer-required,exact formula-0x2A pre-finalizer producer,Implement exact action/target production only after execution provenance and forecast parity are bound.
126,Sinkhole,0x24,AllOrNothing,DontMove,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
127,Torrent,0x24,AllOrNothing,Frog,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
128,Tanglevine,0x24,AllOrNothing,Stop,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
129,Contortion,0x24,AllOrNothing,Petrify,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
130,Tremor,0x24,AllOrNothing,Confusion,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
131,Wind Slash,0x24,AllOrNothing,DontAct,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
132,Will-o'-the-Wisp,0x24,AllOrNothing,Sleep,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
133,Quicksand,0x24,AllOrNothing,DeathSentence,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
134,Sandstorm,0x24,AllOrNothing,Darkness,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
135,Snowstorm,0x24,AllOrNothing,Silence,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
136,Wind Blast,0x24,AllOrNothing,Slow,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
137,Magma Surge,0x24,AllOrNothing,Dead,managed-instant-ko,mechanism-ready-live-gated,lethal staged debit plus native KO apply,Pair an authored rule with the explicit formula-0x08 data neutralizer and live-prove resist/success.
149,Salve,0x38,Cancel,Darkness|Silence|Poison,retained-native-carrier,mechanism-ready-live-gated,paired native packet replacement,Run one all-zero HP/MP carrier vertical slice for the applicable carrier family.
155,Judgment Blade,0x2D,Separate,Stop,ordinary-rider-data-suppression,mechanism-ready-live-gated,data-neutralized rider plus managed packet,Build the selected InflictStatus override and prove ordinary damage plus managed status delivery.
